Breed,Description
Oriental Longhair Cat,"An outgoing, friendly personality plus a silky, luxurious coat: These are just two things that make the Oriental Longhair Cat stand out! These lovely - and loving - cats share so many traits with their Oriental Shorthair cousins and other Oriental cat: They’re playful, intelligent, and far more social than the average feline, with a built-in need for attention.
Bring an Oriental Longhair cat into your home, and you’ll have a friend for life. These cats love nothing quite so much as to follow their favorite person’s every move, poking curious noses into everything from the refrigerator to the bathtub, and reaching out to tap with a paw whenever anything looks out of place.
Not only do Oriental Longhairs use body language to express themselves, they have the ability to develop an impressive vocabulary of meows, trills, and chirps in keeping with their Siamese heritage. These gregarious cats are opinionated and they love to engage in conversation.
When it comes to companionship, the Oriental Longhair cat has some special needs. These cats don’t do well at all when they’re left alone for too long; in fact, they can become seriously distressed or develop destructive habits if they’re deprived of the ability to socialize.
While they do tend to choose a favorite human to follow and snuggle with, they’re happy making friends with other family members including those with four legs and fur. Another social cat or a friendly dog makes the ideal companion for an Oriental Longhair, particularly if you’re someone who spends quite a bit of time away from home.
As cats go, Oriental Longhairs are certainly more affectionate than most. If your family wants at least one fantastic cuddle buddy, this breed is more than capable of lending a paw."
Singapura Cat,"If you've ever found yourself wishing for a tiny cat, the Singapura might be ideal. These adorable kitties stay small throughout adulthood, weighing an average of just four to eight pounds. With quiet voices to match their small stature, Singapura cats have large ears and wide eyes that add even more charm to their kitten-like appearance.
At first glance, the Singapura has a somewhat delicate look; but underneath that soft, silky coat, you'll find stout muscles that give this cat impressive athletic ability. Speaking of looks, Singapura cats have an exotic appearance, with beautiful cheetah lines on their faces and unique ticked coats in a soft sepia tone. Lighter cream-colored fur provides contrast along the belly, chest, muzzle, and chin.
Singapura cats have beautiful personalities, too. While not terribly mischievous, these kitties are curious, playful, and intelligent, capable of learning tricks, and able to get along well with other pets including cats and well-behaved dogs. They're also known for their ability to make friends with newcomers faster than the average cat.
As if all these wonderful traits weren’t enough, these adorable kitties take every opportunity to snuggle. Once naptime has come to an end, they enjoy following their favorite person around the house, sometimes offering advice in a tiny, melodic voice. Like other people-oriented cats, Singapuras don't like to spend too much time alone. Luckily, any form of company – human or animal – helps prevent boredom and the destructive behaviors that can sometimes result. With plenty of attention and lots of love, the Singapura makes a charming companion for life."
Munchkin Cat,"The Munchkin cat is so much more than an adorable little pet: These cats are sweet natured, personable, and playful. With extra short legs that contribute to the breed's nickname ""Dachshund of the cat world,"" these kitties tend to be on the small side. They may have short or long hair, and they come in every color imaginable.
Thanks to the bouncy, short strides they take when running, Munchkin cats are often compared to rabbits and ferrets. The truth is, they are 100% feline, with magnetic personalities, a strong play drive, and an intense love of cuddling.
As you might have guessed, this breed is named after the Munchkins from The Wizard of Oz. Their short legs are caused by a naturally occurring genetic mutation that is caused by an autosomal dominant gene. Munchkin cat breeders select for this gene, which affects leg bone length. These kitties don't know that their legs are far shorter than the average cat's; they simply enjoy life a little closer to the ground! To get a better view, they’ll often stand on their hind legs.
Munchkin cats come in three different heights: Standard, supershort, and rug hugger. Leg length affects the height only; the rest of the cat's body is proportioned like that of an average domestic cat.
You might think that Munchkin cats can't jump. While it is true that their leaps are not as impressive as those of average sized cats, many individuals can make it from the floor to the seat of the couch or the top of your bed with ease. Since they aren't likely to leap onto tall tabletops and high display shelves, members of the Munchkin cat breed might be ideal for people who love cats but worry about the impact they might have on collectibles.
One thing is certain: Bring a Munchkin into your home, and you'll instantly fall in love with their adorable looks and charming personalities."
American Longhair Cat,"The American longhair is not a specific cat breed, although aficionados are encouraging cat fancy associations to recognize this unique feline. For now, the term American longhair is used to indicate a cross between a Persian cat and an American shorthair cat.
American longhair cats are typically medium-sized, reflecting the size and weight of their parents. Their coats come in a variety of colors and patterns and in varying degrees of thickness. There is sometimes confusion concerning the American longhair cat vs the Maine coon cat. This stems from the description of the Maine coon as America's original longhair cat."
Oregon Rex Cat,"The Oregon Rex cat was a fairly playful, friendly cat with headstrong ways and a tendency to bond with its family members. These cats did not like to be alone, which is a trait that they shared with other Rex cats, Orientals, and Siamese.
Unfortunately, the Oregon Rex cat breed is no longer produced, meaning that for all intents and purposes, Oregon Rex cats are extinct. The closest relatives of the Oregon Rex are Selkirk Rex cats, which originate in Montana rather than Oregon."
American Wirehair Cat,"A soft heart and a sweet personality hide behind the rough exterior of the American wirehair cat. These friendly felines are versatile and robust, with a unique appearance that their families appreciate. American wirehair cats are technically a shorthaired cat breed; however, the structure of their hairs gives them the appearance of a medium haired breed.
The American wirehair cat's coat might contain some straight hairs, but most of the hairs that make up this unique cat's coat have a crimped texture with a hooked end. It's coat has a unique springy feel and sheds moderately, about the same as other shorthair cat breeds.
American wirehair cats come in a wide range of colors and patterns. Breeders out cross them to American shorthairs to ensure genetic diversity."
Korat Cat,"Stunning blue-gray fur is only the beginning: The Korat cat is considered to be a living good luck charm in it's native Thailand. Whether you're in search of good fortune or if you're simply hoping to grace your home with a loving, intelligent cat, the Korat may be the perfect pet! This is among the rarest of all cat breeds, so you’ll certainly count yourself fortunate when you find the perfect Korat kitten to spoil.
Korat cats are closely related to Siamese, and share some of their cousin's most endearing personality traits. These kitties love attention, and they enjoy being involved in every aspect of household management: Whether you're fixing lunch, cleaning up after dinner, folding laundry, or catching up on your favorite show, the Korat cat will be on hand to offer advice and a helping paw.
A little less chatty than the Siamese, the Korat might greet you a chirping meow or give you an insistent tap when you aren't offering quite enough attention.
Playful and friendly, Korat cats tend to get along well with everyone including kids, other cats, and well behaved dogs. Fun and games make this cat's world go round, and the more you interact, the happier your relationship will be. Once playtime is over, the Korat cat will eagerly snuggle up next to you."
Chartreux Cat,"Exquisite blue coats, intelligent personalities, and smiling faces make the Chartreux stand out. This old French cat breed was nearly wiped out during the first and second world wars and remains rare today.
Chartreux cats bond with their families but tend to prefer one individual over everyone else. They have a tendency to follow their favorite person from room to room, sometimes mewing or chirping softly. If you're looking for a cat with a reputation for quiet vocalizations, the Chartreux may be ideal; in fact, some Chartreux cats are mute."
Minuet (Napoleon) Cat,"The Minuet cat, formerly known as the Napoleon cat, is a dwarf cat breed created by crossing Munchkin cats with Persian cats, Himalayan cats, and Exotic Shorthairs. The Minuet’s short legs come from the Munchkin. The Persian breed group contributed the Minuet’s abundant coat and rounded head, eyes, and ears.
When the breed was first being developed, it was called the Napoleon cat, named for Napoleon Bonaparte, the short-statured French general with a notoriously big personality. However, the The International Cat Association (TICA) voted to change the breed name to Minuet in 2015, just before the breed achieved full championship status.
Minuet cats inherited a mix of wonderful traits from the parent breeds the were used in the breed’s development. They are gentle and sweet like the Persian, but can also active and curious like the Munchkin. Minuets are very friendly, loving, and become very bonded with their people. They enjoy cuddles and get along well with people and other pets.
The Minuet comes in short-haired and long-haired versions; both have an abundant and dense coat, which may be any color or pattern. The breed has a semi-cobby, well-rounded body and very short legs. Though the body is medium sized, adult Minuets weigh just 7 to 8 pounds.
Some Minuet kittens have the gene for short legs and others do not. Minuets with long legs are referred to as “nonstandard.” These Minuets have all the same wonderful attributes as standard Minuets, but they have long legs like a regular cat. Nonstandard Minuets cannot compete in cat shows—these kittens are sold to pet homes. For this reason, a nonstandard Minuet kitten might cost a bit less than a standard Minuet kitten.
Although Minuets can’t climb up quite as high as cats with long legs, they can get around easily. They can run surprisingly fast, especially when they get a case of the zoomies, and their low-to-the-ground body is agile, taking turns with ease. If your Minuet has trouble jumping or climbing onto the couch or your bed, you can provide pet stairs or a pet ramp to make it easier for them."
Ussuri Cat,"Ussuri cats are rare indeed - in fact, this unusual cat is among the rarest breeds on the planet. They’re very difficult to find, even in Russia.
In the unlikely event that you’re able to bring one of these cats into your home, plan ahead! These are not lap cats by any stretch of the imagination; in fact, they have a very strong prey drive and their instinctual need to hunt makes them poor candidates for life as a pet in a small, confined home. A large catio or a safe outdoor run might help ease the stress of confinement when free roaming isn’t possible.
These wild-looking cats do have the ability to develop strong bonds with humans, typically choosing a single person to lavish with affection.
Expect some surprises if one of these kitties makes its way into your family: When allowed to hunt, Ussuri cats present their favorite humans with a share of whatever they have caught."
Somali Cat,"Can’t decide between an Abyssinian and a long-haired breed? The Somali cat offers the best of both worlds, with exquisitely soft ticked coats, striking facial markings, and all the personality that makes the Abyssinian such a popular breed.
Also known as long-haired Abbysinians, Somali cats make loving companions. Normally fond of their people, these adorable kitties are sometimes aloof with newcomers, but quickly form new friendships.
If you bring a Somali cat into your family, be prepared for fun and games! These cats are curious, alert, and a bit mischievous. They like to watch people and wait for opportunities to get involved in whatever is happening.
Open a cupboard, they’ll be right there, ready to poke their heads inside. Place clothing inside drawers, and they’ll soon find a way to help! Run a faucet, and the Somali cat might dab a paw in the water. After a while, these cats develop the ability to open drawers, doors, and cupboards on their own, and turn on taps for themselves, so they can play in the water without your help.
When it’s time to rest, the Somali will happily curl up in the nearest lap, perhaps kneading with paws and giving affectionate head butts. On chilly winter nights, they offer extra cuddle power, helping their families appreciate those silky-soft, cuddly coats even more."
Ragdoll Cat,"While some kitties dislike being held, the Ragdoll cat seems to live for cuddles. And while many cats are content to keep themselves entertained, Ragdolls actively seek the company of their favorite humans, following family members from one room to the next. These cats are not particularly nosy, but they do enjoy participating in daily life, often observing activities with happy, bemused expressions on their adorable faces.
If you are concerned about breakage that might happen after bringing an active cat into your family, the Ragdoll will gently put your fears to rest. These affectionate kitties prefer to be where you are, perhaps catching a favorite show on the couch or working on a project in the office or garage. Instead of breaking your collectibles, they're far more likely to offer reassuring purrs. These kitties are one of a handful of cat breeds that like water, so they're likely to follow you to the shower or sit on the edge of the bathtub, where they'll keep you company and perhaps get their paws wet.
Steadfast companionship isn't all you'll get from a Ragdoll: These gorgeous kitties live to make us happy, often repeating behaviors that elicit favorable responses from us. With positive reinforcement, it's possible to teach a Ragdoll cat certain tricks and behaviors.
If you are someone who likes cats and dogs but who can only bring a single pet into the family, the Ragdoll might be the ideal choice. After all, these cats have a well-earned reputation for displaying doglike behavior while offering the easy care that comes with choosing a cat as a family pet. Just in case you think you might miss walking a dog, rest easy: Ragdoll cats easily learn to walk on leashes and will happily accompany you through your neighborhood!
Speaking of dogs, Ragdolls get along with them just fine. These cats get along well with other felines, and they're capable of making friends with your entire family, including very young children."
Oriental Bicolor Cat,"An engaging personality plus an adorable appearance add up to none other than the Oriental Bicolour Cat!
These stunning kitties are almost identical to their Oriental Shorthair or Oriental Longhair cousins; in fact, many of these Orientals are also Oriental Bicolor cats. We’ll cut through the confusion in the breed history discussion but first, what can you expect if you bring an Oriental Bicolour into your family?
As it turns out, these fascinating felines have a whole lot more than mesmerizing good looks going for them! Their personalities tend toward the playful, curious side - and that’s probably due to heavy Siamese influence. These intelligent cats love to follow their family members around, getting involved in whatever’s happening at the moment. Like their close cousins, they are exceptionally chatty, chirping, warbling, and sometimes meowing loudly to emphasize a point!
Not only do Oriental Bicolor cats appreciate their human family members, they have a fondness for other felines and they even make friends with dogs. Where some breeds tend to be a bit standoffish with other pets, Oriental Bicolours like constant companionship and develop close relationships with other animals. These kitties like to have at least one friend nearby at all times and without enough attention from the people and animals they bond with, can develop serious depression.
Oriental Bicolors are a bit more demanding than many other cats, it’s true: But what they require in attention, they repay infinitely. Loving, attentive, fond of cuddling, and always happy to brighten even the gloomiest day, this kitty is one you’ll cherish for a lifetime."
Cheetoh Cat,"Large, exotic, and active, Cheetoh cats are fun-loving individuals that crave attention from their families. They tend to get on well with everyone – other pets included!
These incredible cats have a wild appearance, even though they are eight generations removed from the wildcats that make up the breed's foundation. Don’t let that fool you though: They are dedicated lap cats, happy to curl up on the couch and enjoy some well-deserved time in front of the TV!
Cheetoh cats can weigh more than 20 pounds. They are among the largest cat breeds ever developed, and as they’re relatively new, they are also among the rarest."
American Curl Cat,"The American curl cat gets its name from its ears, which curl backward, creating a unique shell-like shape. Just in case you're wondering whether this breed shares any genetics with the Scottish fold, the answer is no. Both breeds are distinct, with different characteristics.
Far more sociable than the average cat, these friendly felines like to greet their families at the door and follow them around the house. They like children and they have a tendency to get along well with other pets.
American curl cats come in every color and pattern imaginable, in both long and shorthair varieties. They have very little undercoat, and their topcoats tend to feel very soft and silky.
In addition to their signature ear shape, the American curl cat is known for having a long, luxurious tail.
As you might imagine, American curl cats with very curly ears are often reserved as show cats. Breeders tend to offer cats that have a less pronounced curve to their ear structure as pets."
Siamese Cat,"If you've been looking for a cat who likes to talk back, consider the Siamese. Among the most vocal of all breeds, these chatty cats love nothing more than to spend time alongside their favorite people, eagerly offering advice and opinions about everything that happens throughout the day.
Talkative tendencies are just the beginning. Siamese cats are friendly and playful, with the ability to get along well with just about everyone so long as they are properly socialized as kittens.
Charming blue eyes contribute to the breed's stunning appearance. Since looks aren't everything, it's important to note that the Siamese cat is highly intelligent and more than a little curious. These kitties keep their families amused with their antics and they are usually more than happy to learn simple tricks. Playing fetch is a favorite pastime, and outdoor walks on leashes are often enjoyed, as well.
Very busy families might do better with a cat that requires less attention, as the Siamese can quickly develop unwanted behaviors if left alone for too long. The good news is that if you have always wanted a Siamese kitten, having a second cat or a friendly dog that's willing to stand in as a playmate can be a remedy for the kind of boredom that can lead to destructive tendencies. This doesn't mean that you'll be able to leave your cat to its own devices; however, it helps to have another animal to provide companionship when you cannot be at your cat's beck and call.
Overall, Siamese cats are marvelous companions and fantastic snugglers. No wonder the Siamese is one of the world's most popular cat breeds!"
"Russian White, Black, and Tabby Cat","Three distinct coat colors in one adorable breed: Russian White, Black, and Tabby cats were all developed with help from the much-loved Russian Blue. Stunning looks, luxurious short-haired coats, and wonderful personalities are a few things that help these kitties stand out from the crowd.
Russian Black, White, and Tabby cats are playful and personable, but not terribly mischievous. Happy to keep their families entertained, these kitties make amusing companions thanks to their high intelligence. Like their blue-haired cousins, these cats quickly learn which behaviors earn pats and praise from their human family members, and which behaviors are best avoided. They share the Russian Blue’s sensitive nature; a loud scolding is likely to hurt this individual’s feelings and send them into hiding.
Friendly and sociable with family members including other pets including well-behaved dogs, Russian Tabby, White, and Black cats have a decidedly shy streak. They aren’t at all fond of strangers and will tuck themselves safely into a safe spot when new people come to visit. This trait means they aren’t good candidates for leash training; instead, it’s best to provide plenty of indoor exercise opportunities that allow for safe enjoyment on the cat’s terms.
Those who spend long hours away from home will be glad to hear that Russian White, Black, and Tabby cats are perfectly fine with the idea of keeping themselves entertained (or asleep) while their human friends are at work or school. They’re likely to greet you with a series of happy meows and a wiggling tail when you return.
Speaking of meows, these kitties are somewhat talkative, but far less so than their Siamese ancestors. They have a reputation for talking back when spoken to, and for reaching out with a questioning paw when they’d like to receive some attention. Some will “sing” to themselves while playing with a favorite toy, and some will become fairly demanding when they sense mealtime approaching.
If you’re lucky enough to make a Russian White, Black, or Tabby cat part of your family, you’ll enjoy a lifetime of companionship, cozy snuggles, and friendly chats."
LaPerm Cat,"A cute, curly coat is just the beginning: The LaPerm cat has an absolutely charming personality. Meet this sweet kitty just once, and you will fall in love!
As family pets, LaPerm cats adore everyone from tiny tots to grandparents. They also have a tendency to make friends with other pets including their fellow felines and well-mannered dogs. These kitties are fond of cuddling up, making themselves comfy whether on your lap, next to you, or underneath your covers.
Between naps, these fabulous felines stay busy. They are as fond of helping their people with projects as they are of playing with their toys. The LaPerm cat possesses quite an inquisitive nature, and will happily investigate unsecured cupboards and drawers, inspecting and sometimes removing their contents.
If you are hoping for a quiet pet, the LaPerm may be ideal. When this kitty does use its voice, the sound tends to be soft and melodious rather than harsh and demanding. To get your attention, the LaPerm cat is more likely to offer a soft tap with a paw.
These amazing cats are truly endearing, quickly making friends with everyone who crosses their path. If you socialize an LaPerm kitten well, it's quite likely that once grown, your cat will greet new acquaintances like old friends."
Siberian Cat,"Formally known as the Siberian Forest Cat, the Siberian is a medium-sized semi-long-haired breed with a stunning triple coat and a charming personality.
Intelligent and playful, the Siberian cat loves to give and receive affection. These adorable kitties live to spend their days and nights alongside their favorite people, often chatting in melodic voices that have nothing in common with the harsher vocalizations of other talkative breeds such as the Siamese.
Siberian cats have a great reputation for friendliness, even where strangers are concerned. These cats happily greet everyone and so long as their experience is a positive one, they have the ability to befriend very young children, other felines, and respectful dogs.
Even though they are friendly and playful, Siberian cats are not terribly mischievous. They will get into things on occasion, but they are far more interested in watching their favorite humans while providing little tidbits of advice via those chirping, trilling, meows that contribute to their lovability. Since they like water and have water resistant coats, Siberians have a comical habit of playing in the water and even joining their favorite people at shower time.
The Siberian cat does have a mellow side, but it may take some time for quiet behaviors to dominate as this breed doesn't reach full maturity until about five years of age.
Siberian cats aren't terribly clingy, but they do thrive with companionship as they are communal by nature. If you spend most of your time away from home, consider adopting a second cat to keep your Moscow Longhair company."
Aegean Cat,"The Aegean cat is one of the oldest natural domestic cat breeds in existence. By natural cat breed, we mean to say that this cat was developed without human input.
Aegeans are a relatively rare cat breed outside their native islands. Aegean cats typically have medium hair length, and are of medium size.
Aegean cats are friendly and intelligent. Over the millennia, they have developed a fondness for humans; in Greece and the surrounding islands, they are valued for their rodent catching skills, and are often treated to bits of food by fishermen and other residents. These cats make excellent family pets, as they like almost everyone.
Aegean cats are notably chatty – they have a tendency to enjoy long conversations with their people. Talk to an Aegean cat, and there likely to reply with happy chirps and meows."
Cymric Cat,"Sometimes referred to as a long-haired Manx cat, the Cymric (pronounced kim-rick) has a reputation for being friendly, affectionate, and highly intelligent.
While the Cymric cat is tailless as a result of a spontaneous genetic mutation, some individuals do exhibit very short tails. Completely tailless Cymric cats are nicknamed rumpys. Those with up to three tail vertebrae at the end of the spine are called rumpy risers, and those with more vertebrae that form a short, movable tail are called longys.
Besides their intriguing appearance, Cymric cats bring delightful personalities to their families homes. They have a reputation for being both playful and gentle, and they make excellent companions for people of all ages."
Australian Mist Cat,"The Australian Mist has the distinction of being the first pedigreed cat ever developed in Australia.
This stunning shorthair was created by crossing the Abyssinian with the Burmese. The Abyssinian contributed to the breed's lively personality and ticked coat; meanwhile, the Burmese lent its easy-going nature and softly shaded colors. Foundation cats included some domestic shorthairs, which contributed a wide range of genetics that ultimately led to the creation of a healthy cat breed that displays an incredible range of colors.
Australian Mist cats display lovely coats with an array of spotted and marbled tabby patterns. Ticked fur gives these cats a soft, shaded appearance, leading to the use of the descriptive word ""mist"" in the breed name.
Renowned as a loving, even-tempered cat, the Australian Mist is understandably popular in its nation of origin, and the breed is gaining even more popularity in show rings worldwide."
Peterbald Cat,"What do you get when you cross an Oriental shorthair with a Donskoy cat? A Peterbald cat! These whimsical creatures are easy to care for, with fun-loving, spirited personalities, and looks that can only be described as uniquely adorable.
The Peterbald cat has a sense of loyalty that many other felines simply don't possess: in fact, this cat is often compared to a dog simply because it is so affectionate toward its humans.
These cats are incredibly sociable, and will happily greet newcomers rather than hiding suspiciously when friends come to call. Because of their social nature, they are unhappy when left alone, meaning it's very important to provide constant companionship. The good news is that companionship doesn't have to be human: Peterbald cats are very similar to their Oriental cousins in that they can form close bonds with other felines and dogs.
Peterbald cats are playful and athletic. They spend their waking hours investigating everything, helping their favorite humans with chores, and looking for tall vantage points from which to survey their domain. They have a tendency to talk while they're at it, loudly expressing their opinions on everything from the amount of attention you're giving them to the fact that they require more food in their dish.
While the Peterbald cat might not be the ideal pet for everyone, this breed is a fascinating one. Those who are lucky enough to bring a Peterbald kitten home have a loyal friend for life!"
Nebelung Cat,"Also known as the long-haired Russian blue, the Nebelung cat is a relatively new breed as well as one of the rarest cat breeds in existence.
If you are lucky enough to bring a Nebelung cat into your home, you can expect a friendly, laid-back companion with stunning good looks to match an outstanding personality. This cat's silvery topcoat and pure blue undercoat lend a magical appearance that's much admired. This kitty is silky soft and while it is technically a long-haired breed, the coat is actually a medium length; longer than that of a shorthair cat but not near so long as that of a cat with very long hair, i.e. a Persian.
Nebelung cats are wonderfully affectionate, with lots of love to share with their families. They're fond of curling up for long naps and TV watching sessions, and given the chance, they'll cuddle up with her favorite people at bedtime.
The Nebelung cat is as playful as it is gentle. This breed is highly intelligent, and is easily taught how to play fun games like fetch. These kitties can learn how to walk on leashes, which allows for safe exploration of the outdoor world and provides some much-needed exercise.
While some breeds need constant attention from their people, the Nebelung cat is all right with a bit of alone time. This doesn't mean you can leave your cat unattended for days on end, but it does mean that your kitty will be okay entertaining itself while you're away at work. Of course, these cats get along well with kids and other pets, and they appreciate the opportunity to socialize whenever it arises, so long as socialization takes place within their family group.
Speaking of socialization, it's very important to introduce the Nebelung cat to a variety of situations, sounds, and people from a very young age. These kitties are prone to nervousness and require a bit more socialization than the average cat."
Egyptian Mau Cat,"Playful and curious when at home with family, the Egyptian Mau cat can be shy or even standoffish with strangers. These stunning cats are highly intelligent, with a reputation for making conversation with their favorite people.
Like most felines, these Egyptian beauties love to relax when the time comes, but for the most part, they are not couch potatoes! They truly enjoy playtime, and their ability to learn interactive games has given them a reputation for having almost doglike personalities.
If you bring an Egyptian Mau cat into your family, you will need to spend plenty of time helping to bring out the best in their personality. Be sure to focus on socialization to prevent problems at the vet and to ensure that the cat is comfortable with visitors; take care to ensure that all interactions are as positive as possible, so the cat learns that humans are fun and friendly, and that treats are involved when good behavior is put on display.
If you plan to show your Egyptian Mau cat, socialization takes on an even more important role: Aggressive cats are disqualified immediately and antisocial individuals aren't viewed as desirable even when their markings are beautiful."
Ukrainian Levkoy Cat,"Friendly, playful, and intelligent, the Ukrainian Levkoy also happens to be among the world's rarest cat breeds.
If you're fortunate enough to bring a Ukrainian Levkoy into your home, you can expect endless hours of cuddling, lots of vocal communication, and an endless display of silly antics that are certain to keep you entertained.
Ukrainian Levkoy cats require plenty of attention in return for their affection. These kitties really do not like to be left alone for long periods of time, and can become anxious and stressed without company. Luckily, another cat or a friendly dog will do in the event that you aren't able to spend most of your days at home.
These kitties are kid friendly, and they easily bond with every member of the family. They are often friendly toward strangers, serving as marvelous ambassadors for hairless cat breeds.
The Ukrainian Levkoy is highly inquisitive, with an uncanny ability to open cupboards and drawers. Even if you have no young children in your home, you might find yourself purchasing child-proofing latches."
Savannah Cat,"Gorgeous markings and fantastic personalities make Savannah cats pretty and popular. These incredible felines get their exotic appearance from the Serval, a small African wildcat with stunning spots, long legs, and massive ears. Their domestic parent (usually a Savannah cat that’s a few generations away from an F1 Serval / domestic hybrid) contributes all the wonderful personality traits that make domestic cats such desirable companions.
If there’s one thing you should know about the Savannah cat, it’s this: These kitties are typically very high-energy, even when they’re several generations along. They do love to settle in for snuggles but their play drive is incredible, and they are also wonderfully intelligent. This means lots of cat proofing is required; without it, your Savannah cat will happily explore every cupboard and drawer in your house, probably while removing various items for a thorough inspection.
Savannah cats can develop destructive behaviors if they’re allowed to become bored, so companionship, safe toys, and plenty of space are absolute essentials. Teach your cat to walk on a leash if you can; regular walks provide plenty of mental and physical stimulation - plus they give these friendly cats even more opportunities to socialize.
While most cats will go to great lengths to avoid water, Savannahs are the opposite. An aquarium soon becomes a coveted fishing spot, a koi pond presents an opportunity for swimming (and fishing) and your faucets quickly become favorite playthings. These cats quickly learn how plumbing works, and when given the chance, will hop up onto countertops to activate a stream of water for splashing. Open toilets are fair game, too.
Savannahs can be quite vocal at times, demanding food or attention as the need arises. Their vocabulary ranges from insistent meows to adorable chirps - and the odds are good that if you speak to them, they’ll carry on a conversation with you.
If you’re lucky enough to bring a Savannah cat into your family, prepare for daily adventures, and be ready to offer lots of love and patience as your kitty learns. Savannah kittens are quite a handful, and adults retain their need for ample activity throughout their lifetimes. We’d love to say that Savannah cats are fantastic for all families, but the truth is, this big, active cat comes with unique needs. Chat with the breeder or rescue you’re considering to make sure that you’re ready to be a Savannah’s cat parent."
Tonkinese Cat,"Can’t decide whether you prefer a Siamese or a Burmese? That’s where the “Tonk” or Tonkinese cat comes in! This adorable kitty offers the best of both breeds, thanks to its Siamese and Burmese heritage.
Tonkinese cats have fantastic personalities, but there’s a tradeoff for their love of human companionship: You can’t leave these kitties to their own devices for too long, too often, or they run the risk of developing separation anxiety. If you’re someone who spends a lot of time at work and you’re leaning heavily toward the Tonkinese, you can compromise by getting two cats instead of one. With a feline companion – perhaps a sibling – the Tonkinese has someone to talk to and spend time with, and there’s far less risk of unwanted behaviors. Plus, you get twice the love!
Tonkinese are nimble cats. Excellent climbers with a fondness for high places, they’re often found on top of refrigerators, tall cabinets, and other elevated spots. From there, they’ll often provide their human friends with unsolicited advice concerning everything from the amount of food in their dish to the evening’s entertainment. Leave the room, and they’re likely to follow you through the entire house, “helping” the entire time.
Just like Siamese and Burmese cats, Tonkinese love water. Leave a large, shallow pan of water on the floor for them to dabble in, perhaps with a few toys floating, and you’ll be able to catch a few moments to yourself – if you can tear yourself away from their adorable antics, that is!
Tonkinese cats might choose a single family member to lavish with attention, or they might share affection with everyone equally. One thing is certain: When it’s time to cuddle, these kitties are experts! Whether they’re lying in your lap while you read or watch TV, or if they’re lounging beside you in bed, you’ll appreciate their warmth, their soft coats, and their loving purrs."
Oriental Shorthair Cat,"If you love Siamese cats, then you'll probably adore Oriental Shorthair cats just as much! These amazing kitties are sized and shaped like their close cousins, but they display an incredible variety of colors and patterns.
Not only is The Oriental Shorthair a visually stunning cat, members of this breed tend to be exceptionally friendly and outgoing, with a fondness for nearly everyone they meet including other felines and even well-behaved dogs. The more friends, the better – in fact, while some breeds prefer solitary life, Oriental Shorthair cats enjoy living in groups!
These amazing kitties are well-suited to most families, but they do require lots of attention. Oriental Shorthair cats are highly social, and they can become depressed if left alone too often. The good news is that furry companions stave off loneliness in this breed just as well as human family members, so those who must often spend more time away at work than at home can enjoy sharing life with one of these delightful cats so long as there's a compatible pet in the home.
While Oriental Shorthair cats develop friendly feelings for multiple people, they have a tendency to choose a favorite person and spend most of their time in close contact."
Havana Brown Cat,"Friendly, intelligent, and playful, Havana Brown cats are excellent all-around companions for families of every kind. They are fond of children and their capable of forming lifelong bonds with other pets. All of these wonderful traits have earned the Havana Brown the nickname ""Chocolate Delight."" These kitties are absolutely exquisite, with gorgeous chocolate coats and vibrant green eyes. No other cat looks quite like a Havana Brown.
If you are hoping for an attentive pet, you might want to consider a Havana! These cats break through feline stereotypes that mention aloof, independent personalities; in fact, The Havana Brown is a charmer, thriving on human interaction. These kitties are not happy without their favorite humans by their sides."
Manx Cat,"The Manx is one of a few tailless cat breeds, yet it’s probably the best-known as it is more widespread than Kurilian Bobtail and Japanese Bobtail cats, which share some similarities. Depending on location and registry, these cats might have long or short hair in a variety of different colors - and it’s worth noting that some purebred cat registries refer to long-haired Manx cats as Cymric cats.
While the Manx cat breed standard requires show quality animals to be either tailless or nearly tailless, pet quality Manx cats may have slightly longer tails. In fact, there are a few nicknames for Manx cats with different tail lengths. “Rumpy” manx cats are completely tailless, while “rumpy risers” have small stubs. “Stumpy” manx cats have partial tails, and a manx with a nearly full length tail is called a ""Longy.""
Social and intelligent, members of the Manx family are often compared to dogs thanks to their high play drive and their tendency to develop strong bonds with their human friends and animal companions alike.
These cats are incredibly athletic, with powerful hind legs. Their ability to jump to great heights means that their families often find them peering down from the highest cupboard in the kitchen, or perhaps from the top of the refrigerator.
Not only do Manx cats enjoy high jumps, they have an intense sense of curiosity. Their agile paws easily jiggle open latches and the drawer pulls, enabling access to small areas filled with your most fascinating belongings.
If you bring a Manx into your life, don't be surprised if you find them following you to the shower, where they'll hide behind the curtain or door and reach in to catch droplets with their paws. Perhaps because of their island origins, Manx cats have a tendency to like water – unless, that is, you're attempting to bathe them!
Fantastic personalities make Manx cats outstanding companions for nearly any family - and adorable, unusual looks make them even more fun to spend time with."
